caseid,recid,age_group_reach_CA,age_group,sex,marital_status,num_child,have_child,province,immstat,harassed,smoke_status,drink_status,stress_level,health_level,living_standard,job_satisfaction,discrimination,health_awareness,eat_habits,social_class,income,Gender,stress,health
5,5,3,2,1,6,0,2,59,1,2,3,7,2,10,10,2,6,6,1,2,1,male,Not very stressful,Completely satisfied
8,8,2,3,1,1,2,1,35,1,2,3,4,3,7,10,2,6,6,2,3,5,male,A bit stressful,level 7
10,10,4,4,2,1,3,1,35,1,2,3,7,3,8,8,1,6,6,3,3,2,female,A bit stressful,level 8
20,20,3,2,1,1,3,1,46,2,2,3,5,1,10,10,2,6,6,1,3,1,male,Not at all stressful,Completely satisfied
21,21,4,5,1,5,0,2,59,1,2,3,7,2,8,10,1,6,6,5,3,4,male,Not very stressful,level 8
36,36,5,6,1,1,0,2,35,1,2,3,6,3,7,7,2,6,6,3,4,3,male,A bit stressful,level 7
41,41,3,2,2,6,0,2,24,1,2,3,6,2,10,7,2,6,6,2,3,2,female,Not very stressful,Completely satisfied
59,59,5,5,2,1,2,1,35,1,2,3,6,3,10,10,2,6,6,3,2,1,female,A bit stressful,Completely satisfied
70,70,2,1,1,6,0,2,47,1,2,3,5,4,10,8,2,6,1,1,4,1,male,Quite A bit stressful,Completely satisfied
74,74,1,5,2,4,0,2,35,1,2,1,6,2,8,7,1,6,6,2,4,2,female,Not very stressful,level 8
83,83,4,4,2,1,2,1,35,1,1,3,4,5,8,7,4,2,6,4,3,3,female,Extremely stressful,level 8
93,93,4,5,2,1,0,2,35,1,2,1,5,4,7,8,1,6,6,3,4,3,female,Quite A bit stressful,level 7
102,102,3,2,1,6,0,2,48,2,2,3,6,3,8,9,2,2,6,2,3,1,male,A bit stressful,level 8
103,103,1,3,2,1,2,1,35,1,2,3,7,3,8,10,1,6,6,3,2,3,female,A bit stressful,level 8
121,121,1,6,2,1,0,2,46,1,2,2,5,1,9,7,1,6,6,2,3,2,female,Not at all stressful,level 9
128,128,3,4,1,6,0,2,35,1,2,3,3,3,8,9,1,6,6,4,5,5,male,A bit stressful,level 8
131,131,1,6,1,2,0,2,35,1,2,3,5,2,10,10,2,6,6,2,2,3,male,Not very stressful,Completely satisfied
140,140,1,4,2,5,1,1,59,2,2,3,5,3,8,6,2,6,6,3,3,3,female,A bit stressful,level 8
144,144,3,2,2,6,0,2,35,2,1,3,4,4,6,7,2,1,6,4,3,2,female,Quite A bit stressful,level 6
162,162,1,3,2,1,0,2,35,1,2,3,3,3,3,7,2,6,6,5,3,6,female,A bit stressful,level 3
182,182,1,5,1,5,0,2,10,1,2,3,2,3,8,8,1,6,6,2,4,3,male,A bit stressful,level 8
187,187,3,6,2,5,0,2,59,1,2,3,3,4,9,7,1,6,6,2,3,4,female,Quite A bit stressful,level 9
201,201,1,5,2,1,2,1,24,2,2,3,2,3,7,9,1,6,6,2,2,2,female,A bit stressful,level 7
206,206,3,3,2,6,0,2,59,1,2,3,6,2,6,8,1,6,1,2,4,2,female,Not very stressful,level 6
217,217,1,6,2,1,1,1,35,1,2,3,5,3,8,8,1,6,6,2,3,3,female,A bit stressful,level 8
219,219,2,5,2,1,0,2,35,1,2,3,5,4,8,8,1,2,6,1,3,5,female,Quite A bit stressful,level 8
240,240,1,3,1,2,0,2,59,2,2,3,5,4,7,8,2,6,2,3,3,2,male,Quite A bit stressful,level 7
248,248,4,4,1,1,2,1,35,1,2,3,4,3,9,7,2,6,6,2,2,3,male,A bit stressful,level 9
256,256,1,2,2,1,2,1,24,1,2,3,7,3,8,8,2,6,6,2,3,2,female,A bit stressful,level 8
265,265,3,4,2,1,1,1,48,1,2,3,4,3,7,7,2,6,6,2,4,4,female,A bit stressful,level 7
275,275,1,1,1,1,1,1,46,1,2,3,7,2,10,7,2,6,2,2,5,2,male,Not very stressful,Completely satisfied
290,290,3,2,2,1,2,1,24,1,2,2,5,3,8,7,2,6,6,3,3,3,female,A bit stressful,level 8
298,298,4,4,2,4,3,1,59,1,2,3,5,3,5,7,2,6,6,1,3,2,female,A bit stressful,level 5
326,326,2,1,2,6,0,2,48,1,2,3,5,3,5,9,4,3,1,5,2,1,female,A bit stressful,level 5
327,327,4,4,2,1,4,1,35,1,2,3,7,1,10,10,1,6,6,3,3,5,female,Not at all stressful,Completely satisfied
334,334,4,3,1,6,0,2,48,1,1,1,7,4,9,7,3,3,6,3,3,1,male,Quite A bit stressful,level 9
345,345,1,2,2,1,1,1,35,1,2,3,7,3,8,8,2,6,6,2,3,3,female,A bit stressful,level 8
369,369,3,3,2,6,0,2,35,1,2,3,7,3,7,7,2,6,6,3,4,2,female,A bit stressful,level 7
373,373,3,3,2,1,1,1,59,1,2,3,7,2,8,7,2,6,6,3,3,2,female,Not very stressful,level 8
379,379,3,5,2,3,0,2,59,1,2,3,7,1,10,10,1,6,6,2,2,3,female,Not at all stressful,Completely satisfied
383,383,1,2,2,1,1,1,35,1,1,3,6,2,9,8,2,6,6,2,3,1,female,Not very stressful,level 9
392,392,2,1,1,6,0,2,35,1,2,3,4,2,8,8,2,6,6,2,3,1,male,Not very stressful,level 8
403,403,4,4,2,5,1,1,35,1,2,3,7,5,8,9,2,6,1,2,3,4,female,Extremely stressful,level 8
423,423,3,4,2,6,0,2,35,1,2,1,7,2,10,7,1,6,6,2,3,1,female,Not very stressful,Completely satisfied
425,425,3,2,2,1,1,1,35,1,2,3,7,3,10,7,2,6,6,2,3,1,female,A bit stressful,Completely satisfied
445,445,2,3,2,1,2,1,35,1,2,3,3,3,5,8,2,6,6,3,3,4,female,A bit stressful,level 5
447,447,5,5,2,1,2,1,35,1,2,3,7,3,9,8,1,6,6,2,3,4,female,A bit stressful,level 9
451,451,3,3,1,1,3,1,24,2,2,3,4,1,10,8,2,6,6,2,3,3,male,Not at all stressful,Completely satisfied
460,460,1,5,1,1,0,2,59,1,2,3,2,3,8,8,2,6,6,4,3,6,male,A bit stressful,level 8
478,478,4,4,1,5,0,2,24,1,2,3,5,3,8,6,2,6,6,3,4,1,male,A bit stressful,level 8
479,479,3,3,1,5,0,2,35,1,2,3,6,1,10,10,1,6,6,1,4,4,male,Not at all stressful,Completely satisfied
480,480,3,4,1,1,0,2,48,1,1,3,4,3,6,6,2,6,6,2,4,3,male,A bit stressful,level 6
481,481,5,5,2,1,1,1,35,1,2,3,6,1,8,8,2,6,2,3,2,3,female,Not at all stressful,level 8
484,484,4,3,1,1,2,1,24,1,1,3,3,4,8,4,2,1,6,2,4,2,male,Quite A bit stressful,level 8
515,515,1,5,2,6,0,2,35,1,2,1,4,3,8,7,1,6,6,3,3,3,female,A bit stressful,level 8
564,564,2,5,2,6,0,2,35,1,2,3,7,3,8,7,1,6,6,2,4,4,female,A bit stressful,level 8
572,572,4,5,2,1,2,1,59,1,2,3,7,4,9,8,1,6,6,1,3,2,female,Quite A bit stressful,level 9
573,573,4,4,2,2,0,2,48,1,2,3,6,3,8,9,2,6,6,3,3,3,female,A bit stressful,level 8
593,593,4,3,2,1,1,1,35,1,2,3,4,2,9,9,2,6,6,1,3,1,female,Not very stressful,level 9
611,611,3,3,2,1,2,1,35,1,1,3,7,4,7,3,2,6,6,3,3,3,female,Quite A bit stressful,level 7
616,616,2,6,2,5,0,2,35,1,2,3,5,3,8,5,2,6,6,3,3,2,female,A bit stressful,level 8
620,620,1,1,2,6,0,2,24,1,2,3,4,2,9,6,1,6,6,3,3,1,female,Not very stressful,level 9
621,621,1,5,1,1,0,2,24,2,2,3,5,4,7,5,3,6,6,3,4,3,male,Quite A bit stressful,level 7
622,622,2,1,2,6,0,2,47,1,2,3,6,2,10,10,1,6,1,2,3,1,female,Not very stressful,Completely satisfied
643,643,4,4,1,1,2,1,48,1,2,3,7,3,9,9,2,6,1,1,3,4,male,A bit stressful,level 9
646,646,4,3,2,1,1,1,12,1,2,3,6,3,8,6,2,6,6,2,3,2,female,A bit stressful,level 8
652,652,5,4,1,1,2,1,35,1,2,3,7,3,9,8,1,6,7,2,3,3,male,A bit stressful,level 9
669,669,3,2,2,1,1,1,48,1,2,3,6,2,9,7,2,6,1,1,3,3,female,Not very stressful,level 9
679,679,1,1,2,6,0,2,46,1,2,3,5,3,10,10,4,6,6,3,3,1,female,A bit stressful,Completely satisfied
681,681,1,2,2,6,0,2,59,1,2,3,7,2,9,8,2,6,6,2,3,1,female,Not very stressful,level 9
692,692,2,3,2,2,3,1,24,1,2,3,5,2,8,9,3,6,6,2,2,2,female,Not very stressful,level 8
696,696,1,3,1,1,0,2,47,2,2,3,5,3,7,8,2,6,1,3,3,4,male,A bit stressful,level 7
707,707,2,4,1,1,0,2,59,1,2,3,4,3,9,9,2,6,6,2,3,5,male,A bit stressful,level 9
709,709,4,5,1,5,0,2,59,1,2,3,3,3,8,9,1,6,6,4,3,2,male,A bit stressful,level 8
721,721,4,3,2,1,2,1,46,1,2,3,7,3,6,8,2,6,6,2,3,2,female,A bit stressful,level 6
728,728,1,2,1,6,0,2,35,1,2,3,4,3,4,4,3,6,6,3,3,2,male,A bit stressful,level 4
730,730,4,3,1,1,2,1,35,1,2,3,5,3,8,8,2,1,1,2,3,2,male,A bit stressful,level 8
739,739,3,4,2,1,1,1,35,1,2,3,5,3,7,9,2,6,6,3,2,3,female,A bit stressful,level 7
775,775,3,3,2,6,0,2,24,1,2,3,5,4,10,7,2,3,6,3,3,1,female,Quite A bit stressful,Completely satisfied
784,784,3,4,2,5,2,1,35,1,1,3,7,3,8,10,1,1,6,1,3,3,female,A bit stressful,level 8
794,794,3,5,2,5,0,2,13,1,1,3,5,3,6,6,2,6,6,2,4,2,female,A bit stressful,level 6
807,807,3,2,1,6,0,2,35,1,1,3,6,4,4,5,3,6,6,4,3,4,male,Quite A bit stressful,level 4
809,809,5,3,1,1,0,2,46,1,2,3,5,3,5,8,2,6,6,3,3,1,male,A bit stressful,level 5
810,810,4,3,2,1,3,1,46,1,2,3,6,3,9,8,3,6,1,2,3,1,female,A bit stressful,level 9
821,821,3,3,2,1,3,1,35,1,2,3,7,2,10,10,1,6,6,3,3,2,female,Not very stressful,Completely satisfied
832,832,4,6,1,4,0,2,35,1,2,3,3,3,10,10,2,6,6,3,3,2,male,A bit stressful,Completely satisfied
847,847,4,5,2,1,0,2,35,2,2,3,7,4,7,5,2,6,6,3,4,2,female,Quite A bit stressful,level 7
852,852,2,3,2,6,0,2,59,1,2,3,5,2,8,9,2,6,6,3,3,3,female,Not very stressful,level 8
869,869,5,5,1,1,1,1,12,1,2,3,7,2,8,8,1,2,6,3,3,4,male,Not very stressful,level 8
904,904,5,4,2,1,1,1,47,1,2,3,5,3,8,10,1,6,6,1,1,4,female,A bit stressful,level 8
935,935,4,4,1,1,2,1,24,1,2,3,4,4,9,8,1,6,6,3,4,2,male,Quite A bit stressful,level 9
968,968,4,4,2,1,1,1,46,1,2,3,5,3,8,8,2,6,6,3,3,4,female,A bit stressful,level 8
973,973,5,4,1,1,0,2,35,1,2,3,4,3,8,7,2,6,6,3,3,2,male,A bit stressful,level 8
